id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Triết học Mác - Lênin,1,1,Đại cương,1
2,Kinh tế chính trị Mác - Lênin,1,1,Đại cương,1
3,Pháp luật đại cương,1,1,Đại cương,1
4,Vi tích phân 1B,1,1,Đại cương,1
5,Thực hành Vi tích phân 1B,1,1,Đại cương,1
6,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
7,Giới thiệu ngành Vật lý,1,1,Đại cương,1
8,Anh văn 1,1,2,Đại cương,1
9,Thể dục 1,1,2,Đại cương,1
10,Giáo dục quốc phòng – An ninh,1,2,Đại cương,1
11,Hóa đại cương 1,1,1,Đại cương,2
12,Vi tích phân 2B,1,1,Đại cương,2
13,Đại số tuyến tính,1,1,Đại cương,2
14,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
15,Vật lý đại cương 3 (Cơ - Nhiệt nâng cao),1,1,Đại cương,2
16,Thực hành Vật lý đại cương,1,1,Đại cương,2
17,Tin học cơ sở,1,2,Đại cương,2
18,Anh văn 2,1,2,Đại cương,2
19,Thể dục 2,1,2,Đại cương,2
20,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
21,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
22,Tư tưởng Hồ Chí Minh,2,1,Đại cương,1
23,Xác suất thống kê,2,1,Đại cương,1
24,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),2,1,Đại cương,1
25,Kinh tế đại cương ,2,0,Đại cương,1
26,Tâm lý đại cương ,2,0,Đại cương,1
27,Phương pháp luận sáng tạo ,2,0,Đại cương,1
28,Khoa học trái đất ,2,0,Đại cương,1
29,Môi trường đại cương ,2,0,Đại cương,1
30,Tổng quan về phát triển bền vững ,2,0,Đại cương,1
31,Hàm phức,2,1,Cơ sở ngành,1
32,Thực hành vật lý cơ sở,2,1,Cơ sở ngành,1
33,Anh văn 3,2,2,Đại cương,1
34,Các phương pháp toán lý,2,1,Cơ sở ngành,2
35,Điện tử cơ bản,2,1,Cơ sở ngành,2
36,Cơ lý thuyết,2,1,Cơ sở ngành,2
37,Cơ lượng tử 1,2,1,Cơ sở ngành,2
38,Điện động lực,2,1,Cơ sở ngành,2
39,Vật lý thống kê,2,1,Cơ sở ngành,2
40,Kỹ thuật lập trình,2,1,Cơ sở ngành,2
41,Anh văn 4,2,2,Đại cương,2
42,Phương pháp tính,3,1,Chuyên ngành hướng 1,1
43,Vật lý hạt nhân,3,1,Chuyên ngành hướng 1,1
44,Cơ lượng tử nâng cao ,3,1,Chuyên ngành hướng 1,1
45,Vật lý thiên văn ,3,0,Chuyên ngành hướng 1,1
46,Đổi mới sáng tạo ,3,0,Chuyên ngành hướng 1,1
47,Các phương pháp NDT ,3,0,Chuyên ngành hướng 1,1
48,Vật lý môi trường ,3,0,Chuyên ngành hướng 1,1
49,Vũ trụ học ,3,0,Chuyên ngành hướng 1,1
50,Tư duy phản biện ,3,0,Chuyên ngành hướng 1,1
51,Lập trình hướng đối tượng ,3,0,Chuyên ngành hướng 1,1
52,Thực hành vật lý hiện đại,3,1,Chuyên ngành hướng 1,1
53,Trường Vật lý: lý thuyết và ứng dụng,3,1,Chuyên ngành hướng 1,2
54,Trạng thái rắn cơ bản,3,1,Chuyên ngành hướng 1,2
55,Vật lý tính toán,3,1,Chuyên ngành hướng 1,2
56,Vật lý hạt cơ bản ,3,0,Chuyên ngành hướng 1,2
57,Những vấn đề mới trong vật lý hiện đại ,3,0,Chuyên ngành hướng 1,2
58,Vật lý năng lượng cao ,3,0,Chuyên ngành hướng 1,2
59,Xử lý ảnh ,3,0,Chuyên ngành hướng 1,2
60,Khoa học dữ liệu ,3,0,Chuyên ngành hướng 1,2
61,Mô phỏng và mô hình hóa ,3,0,Chuyên ngành hướng 1,2
62,Phương pháp nghiên cứu khoa học,3,1,Chuyên ngành hướng 1,2
63,Lập trình hướng đối tượng ,3,1,Chuyên ngành hướng 2,1
64,Hệ thống số và ứng dụng,3,1,Chuyên ngành hướng 2,1
65,Mô phỏng và mô hình hóa,3,1,Chuyên ngành hướng 2,1
66,Phương pháp tính ,3,0,Chuyên ngành hướng 2,1
67,Vật lý chất rắn ,3,0,Chuyên ngành hướng 2,1
68,Đổi mới sáng tạo ,3,0,Chuyên ngành hướng 2,1
69,Xử lý tín hiệu số ,3,0,Chuyên ngành hướng 2,1
70,Máy học ,3,0,Chuyên ngành hướng 2,1
71,Thực hành vật lý hiện đại,3,1,Chuyên ngành hướng 2,1
72,Vật lý linh kiện bán dẫn,3,1,Chuyên ngành hướng 2,2
73,Phân giải mạch,3,1,Chuyên ngành hướng 2,2
74,Công nghệ chế tạo vật liệu ,3,1,Chuyên ngành hướng 2,2
75,Cấu trúc máy tính ,3,0,Chuyên ngành hướng 2,2
76,Khoa học vật liệu và ứng dụng ,3,0,Chuyên ngành hướng 2,2
77,Cảm biến & đo lường ,3,0,Chuyên ngành hướng 2,2
78,Hệ thống nhúng và IoT ,3,0,Chuyên ngành hướng 2,2
79,Cấu trúc dữ liệu và giải thuật ,3,0,Chuyên ngành hướng 2,2
80,Quang điện tử bán dẫn ,3,0,Chuyên ngành hướng 2,2
81,Kỹ thuật phân tích vật liệu ,3,0,Chuyên ngành hướng 2,2
82,Phương pháp nghiên cứu khoa học,3,1,Chuyên ngành hướng 2,2
83,Vật lý phóng xạ,4,1,Chuyên ngành hướng 1 VLHN,1
84,Lý thuyết hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
85,Phương pháp và thiết bị ghi đo bức xạ hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
86,Phân tích thống kê số liệu thực nghiệm hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
87,An toàn và liều lượng,4,1,Chuyên ngành hướng 1 VLHN,1
88,Ứng dụng tin học trong vật lý hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,1
89,Thực tập cơ sở vật lý hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,1
90,Các phương pháp phân tích hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,1
91,Máy gia tốc ,4,0,Chuyên ngành hướng 1 VLHN,1
92,Vật lý hạt nhân ứng dụng ,4,0,Chuyên ngành hướng 1 VLHN,1
93,Vật lý neutron và lò phản ứng ,4,0,Chuyên ngành hướng 1 VLHN,1
94,Phương pháp Địa vật lý giếng khoan,4,1,Chuyên ngành hướng 1 VLĐC,1
95,Phương pháp thăm dò từ và trọng lực,4,1,Chuyên ngành hướng 1 VLĐC,1
96,Phương pháp thăm dò địa chấn,4,1,Chuyên ngành hướng 1 VLĐC,1
97,Thăm dò điện từ,4,1,Chuyên ngành hướng 1 VLĐC,1
98,Phân tích dữ liệu Địa vật lý,4,1,Chuyên ngành hướng 1 VLĐC,1
99,Quản lý dữ liệu Vật lý địa cầu trên GIS ,4,0,Chuyên ngành hướng 1 VLĐC,1
100,Khoa học trái đất nâng cao ,4,0,Chuyên ngành hướng 1 VLĐC,1
101,Lý thuyết tương đối ,4,1,Chuyên ngành hướng 1 VLLT,1
102,Nhập môn Vật lý hệ nhiều hạt ,4,1,Chuyên ngành hướng 1 VLLT,1
103,Các phương pháp gần đúng trong cơ lượng tử,4,1,Chuyên ngành hướng 1 VLLT,1
104,Lý thuyết trường lượng tử ,4,0,Chuyên ngành hướng 1 VLLT,1
105,Lý thuyết hạt cơ bản ,4,0,Chuyên ngành hướng 1 VLLT,1
106,Quang bán dẫn ,4,0,Chuyên ngành hướng 1 VLLT,1
107,Quang lượng Tử ,4,0,Chuyên ngành hướng 1 VLLT,1
108,Thiết kế mạch tích hợp,4,1,Chuyên ngành hướng 2 VLĐT,1
109,Điều khiển thông minh,4,1,Chuyên ngành hướng 2 VLĐT,1
110,Mạng nơ-ron,4,1,Chuyên ngành hướng 2 VLĐT,1
111,Kỹ thuật điện tử ứng dụng,4,1,Chuyên ngành hướng 2 VLĐT,1
112,Điện tử y – sinh ,4,0,Chuyên ngành hướng 2 VLĐT,1
113,Hệ vi cơ điện tử (MEMS) ,4,0,Chuyên ngành hướng 2 VLĐT,1
114,Điện tử công suất ,4,0,Chuyên ngành hướng 2 VLĐT,1
115,Thị giác máy tính ,4,0,Chuyên ngành hướng 2 VLĐT,1
116,Đồ án chuyên đề ,4,0,Chuyên ngành hướng 2 VLĐT,1
117,Hệ thống năng lượng tái tạo ,4,0,Chuyên ngành hướng 2 VLĐT,1
118,Robot điện tử ,4,0,Chuyên ngành hướng 2 VLĐT,1
119,Linh kiện vi điện tử tích hợp ,4,0,Chuyên ngành hướng 2 VLĐT,1
120,Công nghệ chế tạo linh kiện bán dẫn,4,1,Chuyên ngành hướng 2 VLCR,1
121,Tính chất đặc trưng vật liệu,4,1,Chuyên ngành hướng 2 VLCR,1
122,Thực tập chuyên ngành ,4,1,Chuyên ngành hướng 2 VLCR,1
123,Tính chất quang của vật rắn ,4,0,Chuyên ngành hướng 2 VLCR,1
124,Kỹ thuật nuôi tinh thể ,4,0,Chuyên ngành hướng 2 VLCR,1
125,Vật liệu thông minh và ứng dụng ,4,0,Chuyên ngành hướng 2 VLCR,1
126,Ứng dụng máy tính trong chuyên ngành  ,4,0,Chuyên ngành hướng 2 VLCR,1
127,Kỹ thuật chế tạo vật liệu nano ,4,0,Chuyên ngành hướng 2 VLCR,1
128,Kỹ thuật siêu âm ,4,0,Chuyên ngành hướng 2 VLCR,1
129,Kỹ thuật phân tích chuyên ngành ,4,0,Chuyên ngành hướng 2 VLCR,1
130,Cơ sở dữ liệu ,4,0,Chuyên ngành hướng 2 VLTH,1
131,Thị giác máy tính ,4,0,Chuyên ngành hướng 2 VLTH,1
132,Mạng máy tính ,4,0,Chuyên ngành hướng 2 VLTH,1
133,Thiết kế vi mạch ,4,0,Chuyên ngành hướng 2 VLTH,1
134,Phát triển ứng dụng web ,4,0,Chuyên ngành hướng 2 VLTH,1
135,Lập trình trên thiết bị di động ,4,0,Chuyên ngành hướng 2 VLTH,1
136,Lập trình PLC ,4,0,Chuyên ngành hướng 2 VLTH,1
137,Xử lý ảnh số ,4,0,Chuyên ngành hướng 2 VLTH,1
138,Trí tuệ nhân tạo ,4,0,Chuyên ngành hướng 2 VLTH,1
139,Lập trình Java ,4,0,Chuyên ngành hướng 2 VLTH,1
140,Kiểm thử phần mềm ,4,0,Chuyên ngành hướng 2 VLTH,1
141,Chuyên đề mới ,4,0,Chuyên ngành hướng 2 VLTH,1
142,Vật lý laser và quang tử học,4,1,Chuyên ngành hướng 2 VLUD,1
143,Vật lý chân không và màng mỏng,4,1,Chuyên ngành hướng 2 VLUD,1
144,Quang phi tuyến,4,1,Chuyên ngành hướng 2 VLUD,1
145,Thực tập các ứng dụng laser,4,1,Chuyên ngành hướng 2 VLUD,1
146,Thực tập phân tích quang phổ,4,1,Chuyên ngành hướng 2 VLUD,1
147,Thực tập các ứng dụng của vật liệu nano,4,1,Chuyên ngành hướng 2 VLUD,1
148,Quang phổ và ứng dụng,4,1,Chuyên ngành hướng 2 VLUD,1
149,Thực tập thực tế ,4,0,Chuyên ngành hướng 2,2
150,Khóa luận tốt nghiệp,4,1,Tốt nghiệp,2
